"issue","best_registry_name","roster_pharmacy_name","roster_district","location","e164","source_url","source_reference","match_score","runner_up_score"
"ambiguous_or_unmatched","","UNIPHARMA, BRANCH B3","KICUKIRO","Kigali City, KICUKIRO, KANOMBE, KABEZA, GIPOROSO","250788565654","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.791","0.508"
"ambiguous_or_unmatched","","UNIPHARMA, MAIN BRANCH","NYARUGENGE","Kigali City, NYARUGENGE, NYARUGENGE, KIYOVU, ISANGANO","250788300660","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.535","0.387"
"ambiguous_or_unmatched","","VINE KACYIRU2","GASABO","Kigali City, GASABO, KACYIRU, IMBERE YA KING FAISAL HOSPITAL","250788523498","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.598","0.597"
"ambiguous_or_unmatched","","VINE PHARMACY/GACULIRO","GASABO","Kigali City, GASABO, KINYINYA, GACULIRO","250788523498","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.648","0.598"
"ambiguous_or_unmatched","","VISION MENIPHAR2 Ltd","GASABO","Kigali City, GASABO, KACYIRU, Kigali CityHEIGHTS BUILDING","250787070694","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.400","0.213"
"ambiguous_or_unmatched","","VISION MENIPHAR2 Ltd","GASABO","Kigali City, GASABO, KACYIRU, Kigali CityHEIGHTS BUILDING","250788307247","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.400","0.213"
"ambiguous_or_unmatched","","ZENITH PHARMACY","GASABO","Kigali City, GASABO, KIMIRONKO, IMBERE YA GEREZA YA KIMIRONKO","250788693480","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali July-September 2026 duty roster","0.162","0.162"
"ambiguous_or_unmatched","","ALFA VIVACE PHARMACY","MUHANGA","SOUTHERN,MUHANGA,NYAMABUYE,GAHOGO/MUHANGA VILLE","250789240335","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Muhanga_District_JULY-AUGUST-SEPTEMBER_2026.pdf","muhanga July-September 2026 duty roster","0.629","0.204"
"ambiguous_or_unmatched","","LA PROVINDENCE PHARMACY Ltd","MUHANGA","SOUTHERN,MUHANGA,NYAMABUYE,GAHOGO/MUHANGA VILLE","250788503890","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Muhanga_District_JULY-AUGUST-SEPTEMBER_2026.pdf","muhanga July-September 2026 duty roster","0.662","0.500"
"ambiguous_or_unmatched","","BONIPHARMA","MUSANZE","NORTH,MUSANZE,MUHOZA,MUSANZE VILLE","250785623223","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Musanze_JULY-AUGUST-SEPTEMBER_2026.pdf","musanze July-September 2026 duty roster","0.221","0.194"
"ambiguous_or_unmatched","","HHS- ICYIZERE COMPANY Ltd","MUSANZE","NORTHERN,MUSANZE, MUHOZA,MPENGE,RUKORO","250788602681","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Musanze_JULY-AUGUST-SEPTEMBER_2026.pdf","musanze July-September 2026 duty roster","0.146","0.131"
"ambiguous_or_unmatched","","MEDIASOL BRANCH MUSANZE","MUSANZE","NORTH,MUSANZE,MUHOZA, MUSANZE VILLE","250788307358","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Musanze_JULY-AUGUST-SEPTEMBER_2026.pdf","musanze July-September 2026 duty roster","0.893","0.505"
"ambiguous_or_unmatched","","VISIBLE PHARMACY Ltd","MUSANZE","NORTH,MUSANZE,MUHOZA, MPENGE","250788971274","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Musanze_JULY-AUGUST-SEPTEMBER_2026.pdf","musanze July-September 2026 duty roster","0.191","0.127"
"ambiguous_or_unmatched","","MEDIASOL PHARMACY","RUBAVU","WESTERN, RUBAVU,GISENYI","250788307358","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rubavu_for_JULY-AUGUST-SEPTEMBER_2026.pdf","rubavu July-September 2026 duty roster","0.677","0.187"
"ambiguous_or_unmatched","","PHARMACIE VINCA","RUBAVU","WESTERN, RUBAVU,GISENYI/AUBERGE-KOBIL","250788446311","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rubavu_for_JULY-AUGUST-SEPTEMBER_2026.pdf","rubavu July-September 2026 duty roster","0.628","0.210"
"ambiguous_or_unmatched","","FLADOPHAR PHARMACY Ltd","RUHANGO","SOUTHERN,RUHANGO,KINIHIRA,BUHANDA","250788377407","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Ruhango_for_JULY-AUGUST-SEPTEMBER_2026.pdf","ruhango July-September 2026 duty roster","0.272","0.150"
"ambiguous_or_unmatched","","INITIATIVE PHARMA Ltd","RWAMAGANA","EASTERN,RWAMAGANA,KIGABIRO,CYANYA/RWAGAMANA","250783556149","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rwamagana_JULY-AUGUST-SEPTEMBER_2026.pdf","rwamagana July-September 2026 duty roster","0.514","0.124"
"ambiguous_or_unmatched","","MEDIGATE PHARMACY LTD","RWAMAGANA","EASTERN,RWAMAGANA,NYAGASAMBU","250782893234","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rwamagana_JULY-AUGUST-SEPTEMBER_2026.pdf","rwamagana July-September 2026 duty roster","0.267","0.150"
"ambiguous_or_unmatched","","THREAH PHARMACY","RWAMAGANA","EASTERN,RWAMAGANA,KIGABIRO,CYANYA/RWAGAMANA","250784691141","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Rwamagana_JULY-AUGUST-SEPTEMBER_2026.pdf","rwamagana July-September 2026 duty roster","0.318","0.127"
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 1","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 3","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 4","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 6","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 8","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 9","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 11","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 12","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 14","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 15","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 16","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 17","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 17","",""
"invalid_phone","","ALCRESTA PHARMACY","BUGESERA","EASTERN,BUGESERA,NYAMATA,NYAMATA/TOWN","078805085","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Bugesera_District_JULY-AUGUST-SEPTEMBER_2026.pdf","bugesera page 19","",""
"invalid_phone","","PHARMACIE UMURINZI LTD","KIGALI","Kigali City, GASABO, KINYINYA, KAGUGU","078855477","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali page 9","",""
"invalid_phone","","PHARMACIE UMURINZI LTD","KIGALI","Kigali City, GASABO, KINYINYA, KAGUGU","078855477","https://monitoring.rwandafda.gov.rw/monitoring/documents-management/uploads/3/Human-Retail-Pharmacy-Duty-rosters/Retail_Pharmacies_Duty_Roster_in_Kigali_City_for_JULY-AUGUST-SEPTEMBER_2026.pdf","kigali page 16","",""
